country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Latvia,,0.471,0.467,0.515,0.467,,0.497,0.513,0.507,0.573,0.588
Lebanon,0.549,0.465,,0.459,0.521,0.503,0.519,0.457,0.498,0.523,0.517
Lesotho,,,,,,,0.49,,,,
Liberia,,,0.37,0.422,,0.42,,,,0.457,0.27
Libya,,,,,,,,0.575,,,0.562
Lithuania,,0.595,0.581,0.555,0.547,0.507,0.543,0.577,0.56,0.613,0.571
Luxembourg,,,,,0.696,0.71,0.71,0.696,0.713,0.689,0.67
Madagascar,,0.398,,0.464,,,0.438,0.355,0.382,0.368,0.359
Malawi,,0.383,0.489,,0.515,,0.395,0.428,0.404,0.456,0.387
Malaysia,,0.601,0.624,0.581,0.538,0.558,0.579,0.591,0.577,0.596,0.632
Maldives,,,,,,,,,,,
Mali,,0.401,,0.411,0.398,0.376,0.467,0.431,0.368,0.397,0.458
Malta,,,,,0.633,0.577,0.615,0.596,0.638,0.645,0.661
Mauritania,,,0.415,0.425,0.45,0.477,0.478,0.467,0.42,0.448,0.392
Mauritius,,,,,,,0.548,,,0.565,
Mexico,0.658,,0.653,0.683,0.696,0.68,0.691,0.732,0.744,0.668,0.624
Moldova,,0.51,0.477,0.55,0.555,0.559,0.579,0.6,0.576,0.592,0.602
Mongolia,,,0.461,0.449,,0.459,0.503,0.489,0.491,0.482,0.498
Montenegro,,,0.52,,0.48,0.546,0.522,0.522,0.507,0.528,0.512
Morocco,,,,,,0.438,0.508,0.497,0.514,,0.516
Mozambique,,0.459,0.483,0.465,,,0.497,,,,0.455
Myanmar,,,,,,,,0.444,0.418,0.479,0.422
Namibia,,,0.489,,,,,,,0.457,
Nepal,,0.457,0.475,0.444,0.492,0.435,0.381,0.423,0.46,0.498,0.481
Netherlands,0.746,,0.745,0.763,,0.75,0.756,0.747,0.741,0.732,0.732
New Zealand,,0.731,0.76,0.738,,0.722,0.719,0.725,0.728,0.731,0.742
Nicaragua,,0.446,0.494,0.51,0.535,0.569,0.539,0.545,0.577,0.628,0.592
Niger,,0.374,0.428,0.424,0.427,0.41,0.456,0.38,0.372,0.418,0.367
Nigeria,,0.471,0.489,0.494,0.498,0.476,,0.549,0.482,,0.493
North Macedonia,,,0.449,,0.443,0.418,0.49,0.464,0.519,0.52,0.498
Norway,,0.742,,0.763,,,,0.768,,0.744,0.76
Oman,,,,,,,0.685,,,,
Pakistan,0.522,,0.567,0.441,0.521,0.579,0.527,0.513,0.514,0.544,0.482
Palestine,,0.472,0.415,0.439,0.447,0.47,0.475,0.465,0.484,0.472,0.47
Panama,,0.613,0.689,0.693,0.703,0.732,0.725,0.686,0.687,0.663,0.661
Paraguay,,0.473,0.527,0.557,0.558,0.584,0.568,0.582,0.594,0.512,0.556
Peru,,0.481,0.521,0.513,0.552,0.561,0.589,0.582,0.578,0.587,0.558
Philippines,,0.467,0.507,0.459,0.488,0.494,0.499,0.5,0.498,0.531,0.555
Poland,0.559,,0.589,,0.577,0.589,0.565,0.588,0.575,0.575,0.601
